The path of the results is all_sites\CNN_HPO
Basic_3inp model is applied
Learning rate is 0.001400
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN_allsites                             --
©À©¤Sequential: 1-1                        --
©¦    ©¸©¤Conv1d: 2-1                       688
©¦    ©¸©¤ReLU: 2-2                         --
©¦    ©¸©¤Conv1d: 2-3                       3,616
©¦    ©¸©¤ReLU: 2-4                         --
©¦    ©¸©¤Conv1d: 2-5                       14,400
©¦    ©¸©¤ReLU: 2-6                         --
©¦    ©¸©¤Flatten: 2-7                      --
©¦    ©¸©¤Linear: 2-8                       1,442,816
©¦    ©¸©¤ReLU: 2-9                         --
©¦    ©¸©¤Linear: 2-10                      524,800
©¦    ©¸©¤ReLU: 2-11                        --
©¦    ©¸©¤Linear: 2-12                      455,031
©¦    ©¸©¤ReLU: 2-13                        --
©À©¤Sequential: 1-2                        --
©¦    ©¸©¤Conv1d: 2-14                      664
©¦    ©¸©¤ReLU: 2-15                        --
©¦    ©¸©¤Conv1d: 2-16                      5,264
©¦    ©¸©¤ReLU: 2-17                        --
©¦    ©¸©¤Conv1d: 2-18                      10,512
©¦    ©¸©¤ReLU: 2-19                        --
©¦    ©¸©¤Flatten: 2-20                     --
©¦    ©¸©¤Linear: 2-21                      1,639,424
©¦    ©¸©¤ReLU: 2-22                        --
©¦    ©¸©¤Linear: 2-23                      524,800
©¦    ©¸©¤ReLU: 2-24                        --
©¦    ©¸©¤Linear: 2-25                      455,031
©¦    ©¸©¤ReLU: 2-26                        --
©À©¤ModuleList: 1-3                        --
©¦    ©¸©¤Sequential: 2-27                  --
©¦    ©¦    ©¸©¤Linear: 3-1                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-2                    --
©¦    ©¦    ©¸©¤Linear: 3-3                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-4                    --
©¦    ©¦    ©¸©¤Linear: 3-5                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-6                    --
©À©¤ModuleList: 1-4                        --
©¦    ©¸©¤Sequential: 2-28                  --
©¦    ©¦    ©¸©¤Linear: 3-7                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-8                 --
©¦    ©¦    ©¸©¤Linear: 3-9                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-10                --
©¦    ©¦    ©¸©¤Linear: 3-11                 787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-12                --
©À©¤Sequential: 1-5                        --
©¦    ©¸©¤Linear: 2-29                      113,664
©¦    ©¸©¤Linear: 2-30                      16,512
©¦    ©¸©¤Linear: 2-31                      8,514
=================================================================
Total params: 9,941,672
Trainable params: 9,941,672
Non-trainable params: 0
=================================================================
Epoch [1/1000]	 Average training and validation loss: 2.5381E-02 7.7328E-03	Time: 13.01s
Epoch [2/1000]	 Average training and validation loss: 6.0062E-03 3.9446E-03	Time: 10.49s
Epoch [3/1000]	 Average training and validation loss: 3.3792E-03 2.3866E-03	Time: 10.50s
Epoch [4/1000]	 Average training and validation loss: 2.3256E-03 2.3243E-03	Time: 10.59s
Epoch [5/1000]	 Average training and validation loss: 2.2857E-03 2.2506E-03	Time: 10.48s
Epoch [6/1000]	 Average training and validation loss: 2.2381E-03 2.7036E-03	Time: 10.59s
Epoch [7/1000]	 Average training and validation loss: 2.0871E-03 1.9662E-03	Time: 10.56s
Epoch [8/1000]	 Average training and validation loss: 1.9445E-03 1.9428E-03	Time: 10.60s
Epoch [9/1000]	 Average training and validation loss: 1.8728E-03 1.8272E-03	Time: 10.53s
Epoch [10/1000]	 Average training and validation loss: 1.6799E-03 1.6514E-03	Time: 10.63s
Epoch [11/1000]	 Average training and validation loss: 1.6041E-03 1.5036E-03	Time: 10.53s
Epoch [12/1000]	 Average training and validation loss: 1.6218E-03 1.3896E-03	Time: 10.63s
Epoch [13/1000]	 Average training and validation loss: 1.3453E-03 1.3681E-03	Time: 10.53s
Epoch [14/1000]	 Average training and validation loss: 1.2858E-03 1.2477E-03	Time: 10.64s
Epoch [15/1000]	 Average training and validation loss: 1.2145E-03 1.3321E-03	Time: 10.50s
Epoch [16/1000]	 Average training and validation loss: 1.1579E-03 1.1768E-03	Time: 10.54s
Epoch [17/1000]	 Average training and validation loss: 1.1331E-03 1.1166E-03	Time: 10.63s
Epoch [18/1000]	 Average training and validation loss: 1.0702E-03 1.0721E-03	Time: 10.51s
Epoch [19/1000]	 Average training and validation loss: 1.0621E-03 1.0356E-03	Time: 10.63s
Epoch [20/1000]	 Average training and validation loss: 1.0265E-03 1.0110E-03	Time: 10.56s
Epoch [21/1000]	 Average training and validation loss: 9.9892E-04 9.7081E-04	Time: 10.59s
Epoch [22/1000]	 Average training and validation loss: 9.6266E-04 9.1378E-04	Time: 10.57s
Epoch [23/1000]	 Average training and validation loss: 9.3000E-04 8.9216E-04	Time: 10.64s
Epoch [24/1000]	 Average training and validation loss: 9.6747E-04 8.7396E-04	Time: 10.54s
Epoch [25/1000]	 Average training and validation loss: 8.7472E-04 8.7400E-04	Time: 10.66s
Epoch [26/1000]	 Average training and validation loss: 8.7664E-04 8.4248E-04	Time: 10.51s
Epoch [27/1000]	 Average training and validation loss: 8.4568E-04 8.3914E-04	Time: 10.52s
Epoch [28/1000]	 Average training and validation loss: 8.5148E-04 8.2417E-04	Time: 10.63s
Epoch [29/1000]	 Average training and validation loss: 8.2366E-04 8.4197E-04	Time: 10.54s
Epoch [30/1000]	 Average training and validation loss: 8.1850E-04 8.1132E-04	Time: 10.59s
Epoch [31/1000]	 Average training and validation loss: 8.0929E-04 7.9778E-04	Time: 10.56s
Epoch [32/1000]	 Average training and validation loss: 7.9935E-04 7.7627E-04	Time: 10.63s
Epoch [33/1000]	 Average training and validation loss: 7.9334E-04 7.6802E-04	Time: 10.52s
Epoch [34/1000]	 Average training and validation loss: 7.9888E-04 7.7197E-04	Time: 10.64s
Epoch [35/1000]	 Average training and validation loss: 7.6859E-04 7.5464E-04	Time: 10.56s
Epoch [36/1000]	 Average training and validation loss: 7.7637E-04 7.7943E-04	Time: 10.62s
Epoch [37/1000]	 Average training and validation loss: 7.5590E-04 7.5929E-04	Time: 10.55s
Epoch [38/1000]	 Average training and validation loss: 7.5364E-04 8.0095E-04	Time: 10.63s
Epoch [39/1000]	 Average training and validation loss: 7.5337E-04 7.5164E-04	Time: 10.54s
