The path of the results is all_sites\CNN_HPO_FKSH12
Basic_3inp model is applied
Learning rate is 0.000010
Apply pretrain model!
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN_allsites                             --
©À©¤Sequential: 1-1                        --
©¦    ©¸©¤Conv1d: 2-1                       (688)
©¦    ©¸©¤ReLU: 2-2                         --
©¦    ©¸©¤Conv1d: 2-3                       (3,616)
©¦    ©¸©¤ReLU: 2-4                         --
©¦    ©¸©¤Conv1d: 2-5                       (14,400)
©¦    ©¸©¤ReLU: 2-6                         --
©¦    ©¸©¤Flatten: 2-7                      --
©¦    ©¸©¤Linear: 2-8                       (1,442,816)
©¦    ©¸©¤ReLU: 2-9                         --
©¦    ©¸©¤Linear: 2-10                      (524,800)
©¦    ©¸©¤ReLU: 2-11                        --
©¦    ©¸©¤Linear: 2-12                      (455,031)
©¦    ©¸©¤ReLU: 2-13                        --
©À©¤Sequential: 1-2                        --
©¦    ©¸©¤Conv1d: 2-14                      (664)
©¦    ©¸©¤ReLU: 2-15                        --
©¦    ©¸©¤Conv1d: 2-16                      (5,264)
©¦    ©¸©¤ReLU: 2-17                        --
©¦    ©¸©¤Conv1d: 2-18                      (10,512)
©¦    ©¸©¤ReLU: 2-19                        --
©¦    ©¸©¤Flatten: 2-20                     --
©¦    ©¸©¤Linear: 2-21                      (1,639,424)
©¦    ©¸©¤ReLU: 2-22                        --
©¦    ©¸©¤Linear: 2-23                      (524,800)
©¦    ©¸©¤ReLU: 2-24                        --
©¦    ©¸©¤Linear: 2-25                      (455,031)
©¦    ©¸©¤ReLU: 2-26                        --
©À©¤ModuleList: 1-3                        --
©¦    ©¸©¤Sequential: 2-27                  --
©¦    ©¦    ©¸©¤Linear: 3-1                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-2                    --
©¦    ©¦    ©¸©¤Linear: 3-3                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-4                    --
©¦    ©¦    ©¸©¤Linear: 3-5                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-6                    --
©À©¤ModuleList: 1-4                        --
©¦    ©¸©¤Sequential: 2-28                  --
©¦    ©¦    ©¸©¤Linear: 3-7                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-8                 --
©¦    ©¦    ©¸©¤Linear: 3-9                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-10                --
©¦    ©¦    ©¸©¤Linear: 3-11                 787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-12                --
©À©¤Sequential: 1-5                        --
©¦    ©¸©¤Linear: 2-29                      113,664
©¦    ©¸©¤Linear: 2-30                      16,512
©¦    ©¸©¤Linear: 2-31                      8,514
=================================================================
Total params: 9,941,672
Trainable params: 4,864,626
Non-trainable params: 5,077,046
=================================================================
Epoch [1/500]	 Average training and validation loss: 2.0828E-03 1.5051E-03	Time: 3.42s
Epoch [2/500]	 Average training and validation loss: 1.2410E-03 1.0145E-03	Time: 0.25s
Epoch [3/500]	 Average training and validation loss: 9.3171E-04 8.5313E-04	Time: 0.26s
Epoch [4/500]	 Average training and validation loss: 8.2372E-04 7.9132E-04	Time: 0.26s
Epoch [5/500]	 Average training and validation loss: 7.7434E-04 7.6008E-04	Time: 0.26s
Epoch [6/500]	 Average training and validation loss: 7.4533E-04 7.4082E-04	Time: 0.26s
Epoch [7/500]	 Average training and validation loss: 7.2545E-04 7.2746E-04	Time: 0.26s
Epoch [8/500]	 Average training and validation loss: 7.1056E-04 7.1740E-04	Time: 0.26s
Epoch [9/500]	 Average training and validation loss: 6.9871E-04 7.0939E-04	Time: 0.26s
Epoch [10/500]	 Average training and validation loss: 6.8885E-04 7.0276E-04	Time: 0.26s
Epoch [11/500]	 Average training and validation loss: 6.8043E-04 6.9711E-04	Time: 0.26s
Epoch [12/500]	 Average training and validation loss: 6.7306E-04 6.9218E-04	Time: 0.26s
Epoch [13/500]	 Average training and validation loss: 6.6651E-04 6.8784E-04	Time: 0.26s
Epoch [14/500]	 Average training and validation loss: 6.6060E-04 6.8399E-04	Time: 0.26s
Epoch [15/500]	 Average training and validation loss: 6.5522E-04 6.8054E-04	Time: 0.26s
Epoch [16/500]	 Average training and validation loss: 6.5026E-04 6.7744E-04	Time: 0.26s
Epoch [17/500]	 Average training and validation loss: 6.4567E-04 6.7465E-04	Time: 0.26s
Epoch [18/500]	 Average training and validation loss: 6.4140E-04 6.7212E-04	Time: 0.26s
Epoch [19/500]	 Average training and validation loss: 6.3739E-04 6.6981E-04	Time: 0.26s
Epoch [20/500]	 Average training and validation loss: 6.3363E-04 6.6770E-04	Time: 0.26s
Epoch [21/500]	 Average training and validation loss: 6.3006E-04 6.6578E-04	Time: 0.26s
Epoch [22/500]	 Average training and validation loss: 6.2668E-04 6.6402E-04	Time: 0.26s
Epoch [23/500]	 Average training and validation loss: 6.2344E-04 6.6241E-04	Time: 0.26s
Epoch [24/500]	 Average training and validation loss: 6.2036E-04 6.6096E-04	Time: 0.26s
Epoch [25/500]	 Average training and validation loss: 6.1740E-04 6.5962E-04	Time: 0.26s
Epoch [26/500]	 Average training and validation loss: 6.1457E-04 6.5841E-04	Time: 0.26s
Epoch [27/500]	 Average training and validation loss: 6.1185E-04 6.5730E-04	Time: 0.26s
Epoch [28/500]	 Average training and validation loss: 6.0924E-04 6.5628E-04	Time: 0.26s
Epoch [29/500]	 Average training and validation loss: 6.0674E-04 6.5534E-04	Time: 0.26s
Epoch [30/500]	 Average training and validation loss: 6.0432E-04 6.5447E-04	Time: 0.26s
Epoch [31/500]	 Average training and validation loss: 6.0198E-04 6.5368E-04	Time: 0.26s
Epoch [32/500]	 Average training and validation loss: 5.9970E-04 6.5296E-04	Time: 0.26s
