The path of the results is all_sites\CNN_HPO_GVDA
Basic_3inp model is applied
Learning rate is 0.000010
Apply pretrain model!
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN_allsites                             --
©À©¤Sequential: 1-1                        --
©¦    ©¸©¤Conv1d: 2-1                       (688)
©¦    ©¸©¤ReLU: 2-2                         --
©¦    ©¸©¤Conv1d: 2-3                       (3,616)
©¦    ©¸©¤ReLU: 2-4                         --
©¦    ©¸©¤Conv1d: 2-5                       (14,400)
©¦    ©¸©¤ReLU: 2-6                         --
©¦    ©¸©¤Flatten: 2-7                      --
©¦    ©¸©¤Linear: 2-8                       (1,442,816)
©¦    ©¸©¤ReLU: 2-9                         --
©¦    ©¸©¤Linear: 2-10                      (524,800)
©¦    ©¸©¤ReLU: 2-11                        --
©¦    ©¸©¤Linear: 2-12                      (455,031)
©¦    ©¸©¤ReLU: 2-13                        --
©À©¤Sequential: 1-2                        --
©¦    ©¸©¤Conv1d: 2-14                      (664)
©¦    ©¸©¤ReLU: 2-15                        --
©¦    ©¸©¤Conv1d: 2-16                      (5,264)
©¦    ©¸©¤ReLU: 2-17                        --
©¦    ©¸©¤Conv1d: 2-18                      (10,512)
©¦    ©¸©¤ReLU: 2-19                        --
©¦    ©¸©¤Flatten: 2-20                     --
©¦    ©¸©¤Linear: 2-21                      (1,639,424)
©¦    ©¸©¤ReLU: 2-22                        --
©¦    ©¸©¤Linear: 2-23                      (524,800)
©¦    ©¸©¤ReLU: 2-24                        --
©¦    ©¸©¤Linear: 2-25                      (455,031)
©¦    ©¸©¤ReLU: 2-26                        --
©À©¤ModuleList: 1-3                        --
©¦    ©¸©¤Sequential: 2-27                  --
©¦    ©¦    ©¸©¤Linear: 3-1                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-2                    --
©¦    ©¦    ©¸©¤Linear: 3-3                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-4                    --
©¦    ©¦    ©¸©¤Linear: 3-5                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-6                    --
©À©¤ModuleList: 1-4                        --
©¦    ©¸©¤Sequential: 2-28                  --
©¦    ©¦    ©¸©¤Linear: 3-7                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-8                 --
©¦    ©¦    ©¸©¤Linear: 3-9                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-10                --
©¦    ©¦    ©¸©¤Linear: 3-11                 787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-12                --
©À©¤Sequential: 1-5                        --
©¦    ©¸©¤Linear: 2-29                      113,664
©¦    ©¸©¤Linear: 2-30                      16,512
©¦    ©¸©¤Linear: 2-31                      8,514
=================================================================
Total params: 9,941,672
Trainable params: 4,864,626
Non-trainable params: 5,077,046
=================================================================
Epoch [1/500]	 Average training and validation loss: 7.0850E-03 7.9981E-03	Time: 2.67s
Epoch [2/500]	 Average training and validation loss: 6.8369E-03 7.7393E-03	Time: 0.03s
Epoch [3/500]	 Average training and validation loss: 6.6013E-03 7.4895E-03	Time: 0.03s
Epoch [4/500]	 Average training and validation loss: 6.3741E-03 7.2486E-03	Time: 0.03s
Epoch [5/500]	 Average training and validation loss: 6.1553E-03 7.0168E-03	Time: 0.03s
Epoch [6/500]	 Average training and validation loss: 5.9450E-03 6.7936E-03	Time: 0.03s
Epoch [7/500]	 Average training and validation loss: 5.7432E-03 6.5790E-03	Time: 0.03s
Epoch [8/500]	 Average training and validation loss: 5.5497E-03 6.3729E-03	Time: 0.03s
Epoch [9/500]	 Average training and validation loss: 5.3644E-03 6.1750E-03	Time: 0.03s
Epoch [10/500]	 Average training and validation loss: 5.1873E-03 5.9852E-03	Time: 0.03s
Epoch [11/500]	 Average training and validation loss: 5.0180E-03 5.8027E-03	Time: 0.03s
Epoch [12/500]	 Average training and validation loss: 4.8564E-03 5.6274E-03	Time: 0.03s
Epoch [13/500]	 Average training and validation loss: 4.7024E-03 5.4591E-03	Time: 0.03s
Epoch [14/500]	 Average training and validation loss: 4.5556E-03 5.2975E-03	Time: 0.03s
Epoch [15/500]	 Average training and validation loss: 4.4154E-03 5.1421E-03	Time: 0.03s
Epoch [16/500]	 Average training and validation loss: 4.2815E-03 4.9926E-03	Time: 0.03s
Epoch [17/500]	 Average training and validation loss: 4.1531E-03 4.8486E-03	Time: 0.03s
Epoch [18/500]	 Average training and validation loss: 4.0302E-03 4.7095E-03	Time: 0.03s
Epoch [19/500]	 Average training and validation loss: 3.9121E-03 4.5752E-03	Time: 0.03s
Epoch [20/500]	 Average training and validation loss: 3.7987E-03 4.4454E-03	Time: 0.03s
Epoch [21/500]	 Average training and validation loss: 3.6897E-03 4.3199E-03	Time: 0.03s
Epoch [22/500]	 Average training and validation loss: 3.5848E-03 4.1987E-03	Time: 0.03s
Epoch [23/500]	 Average training and validation loss: 3.4838E-03 4.0819E-03	Time: 0.03s
Epoch [24/500]	 Average training and validation loss: 3.3870E-03 3.9699E-03	Time: 0.03s
Epoch [25/500]	 Average training and validation loss: 3.2945E-03 3.8626E-03	Time: 0.03s
Epoch [26/500]	 Average training and validation loss: 3.2062E-03 3.7603E-03	Time: 0.03s
Epoch [27/500]	 Average training and validation loss: 3.1219E-03 3.6627E-03	Time: 0.03s
Epoch [28/500]	 Average training and validation loss: 3.0416E-03 3.5696E-03	Time: 0.03s
Epoch [29/500]	 Average training and validation loss: 2.9648E-03 3.4807E-03	Time: 0.03s
Epoch [30/500]	 Average training and validation loss: 2.8912E-03 3.3956E-03	Time: 0.03s
Epoch [31/500]	 Average training and validation loss: 2.8208E-03 3.3139E-03	Time: 0.03s
Epoch [32/500]	 Average training and validation loss: 2.7533E-03 3.2354E-03	Time: 0.03s
Epoch [33/500]	 Average training and validation loss: 2.6887E-03 3.1600E-03	Time: 0.03s
Epoch [34/500]	 Average training and validation loss: 2.6270E-03 3.0874E-03	Time: 0.03s
Epoch [35/500]	 Average training and validation loss: 2.5680E-03 3.0176E-03	Time: 0.03s
Epoch [36/500]	 Average training and validation loss: 2.5115E-03 2.9503E-03	Time: 0.03s
Epoch [37/500]	 Average training and validation loss: 2.4573E-03 2.8855E-03	Time: 0.03s
Epoch [38/500]	 Average training and validation loss: 2.4053E-03 2.8231E-03	Time: 0.03s
Epoch [39/500]	 Average training and validation loss: 2.3553E-03 2.7629E-03	Time: 0.03s
Epoch [40/500]	 Average training and validation loss: 2.3071E-03 2.7048E-03	Time: 0.03s
Epoch [41/500]	 Average training and validation loss: 2.2607E-03 2.6490E-03	Time: 0.03s
Epoch [42/500]	 Average training and validation loss: 2.2161E-03 2.5955E-03	Time: 0.03s
Epoch [43/500]	 Average training and validation loss: 2.1730E-03 2.5442E-03	Time: 0.03s
Epoch [44/500]	 Average training and validation loss: 2.1316E-03 2.4950E-03	Time: 0.03s
Epoch [45/500]	 Average training and validation loss: 2.0916E-03 2.4476E-03	Time: 0.03s
Epoch [46/500]	 Average training and validation loss: 2.0530E-03 2.4022E-03	Time: 0.03s
