The path of the results is all_sites\CNN_HPO_WLA
Basic_3inp model is applied
Learning rate is 0.000010
Apply pretrain model!
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN_allsites                             --
©À©¤Sequential: 1-1                        --
©¦    ©¸©¤Conv1d: 2-1                       (688)
©¦    ©¸©¤ReLU: 2-2                         --
©¦    ©¸©¤Conv1d: 2-3                       (3,616)
©¦    ©¸©¤ReLU: 2-4                         --
©¦    ©¸©¤Conv1d: 2-5                       (14,400)
©¦    ©¸©¤ReLU: 2-6                         --
©¦    ©¸©¤Flatten: 2-7                      --
©¦    ©¸©¤Linear: 2-8                       (1,442,816)
©¦    ©¸©¤ReLU: 2-9                         --
©¦    ©¸©¤Linear: 2-10                      (524,800)
©¦    ©¸©¤ReLU: 2-11                        --
©¦    ©¸©¤Linear: 2-12                      (455,031)
©¦    ©¸©¤ReLU: 2-13                        --
©À©¤Sequential: 1-2                        --
©¦    ©¸©¤Conv1d: 2-14                      (664)
©¦    ©¸©¤ReLU: 2-15                        --
©¦    ©¸©¤Conv1d: 2-16                      (5,264)
©¦    ©¸©¤ReLU: 2-17                        --
©¦    ©¸©¤Conv1d: 2-18                      (10,512)
©¦    ©¸©¤ReLU: 2-19                        --
©¦    ©¸©¤Flatten: 2-20                     --
©¦    ©¸©¤Linear: 2-21                      (1,639,424)
©¦    ©¸©¤ReLU: 2-22                        --
©¦    ©¸©¤Linear: 2-23                      (524,800)
©¦    ©¸©¤ReLU: 2-24                        --
©¦    ©¸©¤Linear: 2-25                      (455,031)
©¦    ©¸©¤ReLU: 2-26                        --
©À©¤ModuleList: 1-3                        --
©¦    ©¸©¤Sequential: 2-27                  --
©¦    ©¦    ©¸©¤Linear: 3-1                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-2                    --
©¦    ©¦    ©¸©¤Linear: 3-3                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-4                    --
©¦    ©¦    ©¸©¤Linear: 3-5                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-6                    --
©À©¤ModuleList: 1-4                        --
©¦    ©¸©¤Sequential: 2-28                  --
©¦    ©¦    ©¸©¤Linear: 3-7                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-8                 --
©¦    ©¦    ©¸©¤Linear: 3-9                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-10                --
©¦    ©¦    ©¸©¤Linear: 3-11                 787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-12                --
©À©¤Sequential: 1-5                        --
©¦    ©¸©¤Linear: 2-29                      113,664
©¦    ©¸©¤Linear: 2-30                      16,512
©¦    ©¸©¤Linear: 2-31                      8,514
=================================================================
Total params: 9,941,672
Trainable params: 4,864,626
Non-trainable params: 5,077,046
=================================================================
Epoch [1/500]	 Average training and validation loss: 1.1210E-03 1.4613E-03	Time: 3.08s
Epoch [2/500]	 Average training and validation loss: 1.0446E-03 1.4099E-03	Time: 0.05s
Epoch [3/500]	 Average training and validation loss: 9.8282E-04 1.3676E-03	Time: 0.05s
Epoch [4/500]	 Average training and validation loss: 9.3226E-04 1.3309E-03	Time: 0.05s
Epoch [5/500]	 Average training and validation loss: 8.9034E-04 1.2980E-03	Time: 0.05s
Epoch [6/500]	 Average training and validation loss: 8.5526E-04 1.2684E-03	Time: 0.05s
Epoch [7/500]	 Average training and validation loss: 8.2583E-04 1.2421E-03	Time: 0.05s
Epoch [8/500]	 Average training and validation loss: 8.0117E-04 1.2191E-03	Time: 0.05s
Epoch [9/500]	 Average training and validation loss: 7.8047E-04 1.1993E-03	Time: 0.05s
Epoch [10/500]	 Average training and validation loss: 7.6299E-04 1.1821E-03	Time: 0.05s
Epoch [11/500]	 Average training and validation loss: 7.4804E-04 1.1670E-03	Time: 0.05s
Epoch [12/500]	 Average training and validation loss: 7.3504E-04 1.1533E-03	Time: 0.05s
Epoch [13/500]	 Average training and validation loss: 7.2356E-04 1.1406E-03	Time: 0.05s
Epoch [14/500]	 Average training and validation loss: 7.1326E-04 1.1286E-03	Time: 0.05s
Epoch [15/500]	 Average training and validation loss: 7.0388E-04 1.1172E-03	Time: 0.05s
Epoch [16/500]	 Average training and validation loss: 6.9524E-04 1.1064E-03	Time: 0.05s
Epoch [17/500]	 Average training and validation loss: 6.8722E-04 1.0961E-03	Time: 0.05s
Epoch [18/500]	 Average training and validation loss: 6.7971E-04 1.0862E-03	Time: 0.05s
Epoch [19/500]	 Average training and validation loss: 6.7264E-04 1.0767E-03	Time: 0.05s
Epoch [20/500]	 Average training and validation loss: 6.6595E-04 1.0676E-03	Time: 0.05s
Epoch [21/500]	 Average training and validation loss: 6.5960E-04 1.0588E-03	Time: 0.05s
Epoch [22/500]	 Average training and validation loss: 6.5356E-04 1.0503E-03	Time: 0.05s
Epoch [23/500]	 Average training and validation loss: 6.4779E-04 1.0420E-03	Time: 0.04s
Epoch [24/500]	 Average training and validation loss: 6.4225E-04 1.0341E-03	Time: 0.05s
Epoch [25/500]	 Average training and validation loss: 6.3692E-04 1.0263E-03	Time: 0.05s
Epoch [26/500]	 Average training and validation loss: 6.3177E-04 1.0188E-03	Time: 0.05s
Epoch [27/500]	 Average training and validation loss: 6.2679E-04 1.0116E-03	Time: 0.05s
Epoch [28/500]	 Average training and validation loss: 6.2197E-04 1.0045E-03	Time: 0.05s
Epoch [29/500]	 Average training and validation loss: 6.1727E-04 9.9757E-04	Time: 0.05s
Epoch [30/500]	 Average training and validation loss: 6.1271E-04 9.9087E-04	Time: 0.05s
Epoch [31/500]	 Average training and validation loss: 6.0828E-04 9.8444E-04	Time: 0.05s
Epoch [32/500]	 Average training and validation loss: 6.0399E-04 9.7822E-04	Time: 0.05s
